timestampms,seq,best_bid,best_ask,mid,inventory,cash,avg_cost,realized_pnl,equity_mtm,equity_liquidation,trade_count,bid_quote_price,ask_quote_price,bid_quote_size,ask_quote_size
1773069463198,231991,69236.03,69236.04,69236.035,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.399877349377,20002.25532626175,2,,,,
1773069464200,232111,69236.48,69242.97,69239.725,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.415283099377,20002.257204072375,2,,,,
1773069465200,232202,69236.88,69242.97,69239.925,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.416118099376,20002.258873237377,2,,,,
1773069466201,232642,69216.12,69221.11,69218.61499999999,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.327148849377,20002.172243573874,2,,,,
1773069467264,232704,69216.24,69221.11,69218.675,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.327399349375,20002.172744323376,2,,,,
1773069468279,232770,69216.52,69221.11,69218.815,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.327983849376,20002.173912738876,2,,,,
1773069469301,232967,69211.63,69217.21,69214.42000000001,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.309634724377,20002.153507196752,2,,,,
1773069470319,233217,69216.15,69225.15,69220.65,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.335644974377,20002.17236876125,2,,,,
1773069471351,233411,69220.22,69221.71,69220.965,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.336960099376,20002.189352515124,2,,,,
1773069472359,233506,69220.39,69221.71,69221.05,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.337314974375,20002.190061910253,2,,,,
1773069473421,233718,69220.71,69225.66,69223.185,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.346228599377,20002.19139724225,2,,,,
1773069474440,234144,69206.1,69208.36,69207.23000000001,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.279616474378,20002.130430990626,2,,,,
1773069475498,234192,69206.1,69208.36,69207.23000000001,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.279616474378,20002.130430990626,2,,,,
1773069476498,234258,69200.15,69208.36,69204.255,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.267195849377,20002.10560216125,2,,,,
1773069477502,234636,69194.08,69196.72,69195.4,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.230226224376,20002.080272582378,2,,,,
1773069478516,234666,69194.08,69196.72,69195.4,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.230226224376,20002.080272582378,2,,,,
1773069479531,234792,69194.01,69196.72,69195.36499999999,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.230080099376,20002.079980478502,2,,,,
1773069480546,235098,69206.0,69210.79,69208.39499999999,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.284480349375,20002.130013699378,2,,,,
1773069481546,235292,69194.0,69201.91,69197.955,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.240893349375,20002.079938749375,2,,,,
