timestampms,seq,event,side,price,size,queue_ahead,inventory,fair_price,reservation_price
1773069700479,287670,new,ASK,69027.8,0.013781812500000002,0.19020211,0.004175000000000002,68979.45685871372,68979.45463204705
1773069701516,287715,cancel,ASK,69027.8,0.013781812500000002,0.19020211,0.004175000000000002,69006.61257584543,69006.61034917877
1773069703610,287841,new,ASK,69027.39,0.013781812500000002,0.15216169,0.004175000000000002,68980.57299623938,68980.57076957272
1773069704130,287964,cancel,ASK,69027.39,0.013781812500000002,0.0,0.004175000000000002,68995.46030806891,68995.45808140225
1773069734418,297355,new,ASK,69080.85,0.013781812500000002,0.0636,0.004175000000000002,69036.89945868008,69036.89723201342
1773069734918,297456,cancel,ASK,69080.85,0.013781812500000002,0.0236,0.004175000000000002,69064.78008887143,69064.77786220476
1773069736574,297936,new,ASK,69052.12,0.013781812500000002,0.19011991,0.004175000000000002,69009.92918515354,69009.92695848687
1773069737083,298071,cancel,ASK,69052.12,0.013781812500000002,1.3877787807814457e-17,0.004175000000000002,69024.17213674782,69024.16991008115
1773069750013,301216,new,ASK,69090.38,0.013781812500000002,0.0236,0.004175000000000002,69032.84152302188,69032.83929635522
1773069751140,301393,cancel,ASK,69090.38,0.013781812500000002,0.0236,0.004175000000000002,69047.34249552837,69047.3402688617
1773069751648,301457,new,ASK,69078.36,0.013781812500000002,0.21363086,0.004175000000000002,69036.67394223869,69036.67171557203
1773069753276,301570,cancel,ASK,69078.36,0.013781812500000002,0.21363086,0.004175000000000002,69050.72403979156,69050.7218131249
1773069754299,301652,new,ASK,69078.36,0.013781812500000002,0.21363086,0.004175000000000002,69031.08007041684,69031.07784375017
1773069754803,301843,cancel,ASK,69078.36,0.013781812500000002,0.038006170000000006,0.004175000000000002,69050.73361382585,69050.73138715919
1773069755318,301905,new,ASK,69078.36,0.013781812500000002,0.2136658,0.004175000000000002,69031.23657306399,69031.23434639732
1773069755852,301945,cancel,ASK,69078.36,0.013781812500000002,0.19006579999999998,0.004175000000000002,69057.52996694356,69057.5277402769
